PLOT-Name,3PG-Mean_DBH,3PG-Basal_Area
plot900,38.7794,75.3508
plot901,47.758,76.9936
plot902,49.5502,77.3413
plot903,45.9154,76.7221
plot904,33.5509,76.3939
plot905,41.4124,76.7495
plot906,37.745,75.5205
plot907,54.3974,77.0443
plot908,34.6046,75.1018
plot909,41.5222,76.6635
plot910,43.9648,76.2973
plot911,37.0358,75.6333
plot912,42.0019,76.4407
plot913,35.7402,76.8799
plot914,36.5543,75.8715
plot915,37.1553,75.5185
plot916,45.1316,76.7369
plot917,39.0009,75.4736
plot918,38.3793,75.5948
plot919,48.2076,77.1634
plot920,40.9605,76.022
plot921,45.7113,76.5214
plot922,44.6824,76.1438
plot923,36.9734,75.6704
plot924,44.2102,76.6752
plot925,49.4379,76.7343
plot926,41.6362,76.3807
plot927,40.5638,75.7543
plot928,37.8736,75.6096
plot929,39.6976,76.7898
plot930,25.6071,75.6666
plot931,30.9964,78.02
plot932,53.5973,77.9155
plot933,41.8039,76.4705
plot934,47.7277,77.2975
plot935,38.1227,75.4431
plot936,39.2532,75.7162
plot937,50.2037,77.1214
plot938,38.8364,76.2066
plot939,43.0602,76.7618
plot940,36.1882,75.7203
plot941,36.9961,75.9725
plot942,41.7108,76.4514
plot943,42.0262,76.238
plot944,40.8722,76.2376
plot945,49.277,77.2015
plot946,45.1941,76.9363
plot947,47.9189,77.0192
plot948,35.8019,75.8599
plot949,52.3688,77.3882
plot950,43.2883,76.5916
plot951,49.2961,77.2937
plot952,47.679,77.0334
plot953,42.1284,76.4798
plot954,34.5152,73.9567
plot955,46.3239,77.3931
plot956,41.7035,76.1016
plot957,33.764,75.1949
plot958,49.2388,76.8888
plot959,33.6959,74.7889
plot960,46.7919,76.4904
plot961,32.9988,75.1291
plot962,40.566,76.7719
plot963,40.1861,76.2651
plot964,41.4079,76.4372
plot965,41.0292,76.3237
plot966,49.7428,76.9735
plot967,48.1529,77.2118
plot968,42.0457,75.9963
plot969,53.1415,77.6459
plot970,42.5958,76.5158
plot971,40.2959,76.2367
plot972,49.0551,77.0843
plot973,46.6812,76.5348
plot974,43.1373,76.6166
plot975,47.3594,77.0327
plot976,34.7258,75.1725
plot977,41.9279,76.086
plot978,32.5376,75.8043
plot979,27.8933,75.1762
plot980,35.7161,77.2724
plot981,23.2088,76.2616
plot982,31.0477,75.8499
plot983,31.8503,75.2913
plot984,36.2085,76.6756
plot985,43.8687,76.2132
plot986,36.941,75.7408
plot987,36.3005,75.9885
plot988,51.0956,77.4125
plot989,46.9375,77.3355
plot990,41.1208,75.9607
plot991,52.3078,77.3543
plot992,35.9685,75.4593
plot993,44.9869,77.0628
plot994,45.0531,77.1083
plot995,44.5031,76.7904
plot996,34.0808,75.6205
